02iyq,4r1k1/pp3p1p/q1p2np1/4P1Q1/8/1P1P3P/P3R1P1/7K w - - 0 29,e5f6 e8e2 g5h6 e2e1 h1h2 e1h1 h2h1 c6c5 h6g7,https://lichess.org/rpyv9rFS/black#56,
051YJ,7k/pp2q1p1/1n2p1B1/1b3pp1/1n1P3P/8/PP1K1PP1/1Q5R w - - 0 25,h4g5 h8g8 h1h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8,https://lichess.org/BLp2HacV/black#48,
065sJ,3rr2k/3qn1p1/p3R2p/1p3p1Q/7R/2P4P/PP3PP1/6K1 w - - 0 28,e6h6 g7h6 h5h6 h8g8 h6h8 g8f7 h4h7 f7e6 h7h6 e7g6 h6g6 e6d5 h8d4,https://lichess.org/WEhie8nq/black#54,
07OUg,1k4r1/2p5/1p5b/1P1NPrqp/2bP4/5Q1K/2P2R2/R7 w - - 0 34,a1a8 b8a8 d5b6 a8a7 f3a3 a7b7 a3a6 b7b8 a6a8,https://lichess.org/0szxvfJn/black#66,
07R2h,3q2k1/1Q2Ppb1/4n2p/2P3p1/8/P5P1/1P4BP/3R2K1 b - - 0 36,d8d1 g2f1 g7d4 g1g2 e6f4 g3f4 d1g4 g2h1 g4g1,https://lichess.org/g7P5S6O1#71,
08tul,Qnbq1rk1/p4ppp/8/1B6/4p1n1/2N2N2/PPPP2PP/R1BQ2KR b - - 2 10,d8b6 d2d4 e4d3 f3d4 b6d4 c1e3 d4e3 g1f1 e3f2,https://lichess.org/czo7qy3F#19,Elephant_Gambit Elephant_Gambit_Other_variations
0A05m,5rk1/pp4p1/7p/3pp2Q/P2P4/3bq2N/1P1N1bPP/R1BK3R b - - 0 21,f8c8 d2c4 d3c2 d1c2 c8c4 c2b1 e3d3 b1a2 c4a4,https://lichess.org/ezBpSX2D#41,
0A8qq,r2q1b1r/pp1n1k2/2pQ3p/4P1pn/6b1/2N2NP1/PPP5/R1B2RK1 w - - 0 16,f3g5 f7g7 f1f7 g7g8 d6g6 h5g7 f7g7 f8g7 g6f7,https://lichess.org/2ZpEwe05/black#30,Vienna_Game Vienna_Game_Other_variations
0Abz9,r2q1k1r/p4Pp1/b1p5/2b1N3/2p5/3PB1p1/PPP1Q1P1/R3R1K1 b - - 3 18,h8h1 g1h1 d8h4 h1g1 h4h2 g1f1 h2h1 e3g1 h1g1,https://lichess.org/7JLlQi2F#35,Sicilian_Defense Sicilian_Defense_Grand_Prix_Attack
0Acau,8/5p1k/1pQ4p/p2P2p1/Pb1B4/1B3P1P/4n1PK/4q3 w - - 7 35,b3c2 h7g8 c6e8 b4f8 c2h7 g8h7 e8f7 f8g7 f7g7,https://lichess.org/Tb8liqCQ/black#68,
