00LRq,1k6/1p1q2r1/P2p3p/1NpPpn1Q/5b2/2P5/1P2B1P1/R6K w - - 4 29,a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q,https://lichess.org/i9yxFCW9/black#56,
00O9Z,5Q1R/5p1p/1b3qp1/p6k/P2P4/8/1P2rPPP/5RK1 b - - 8 32,f6f2 f1f2 e2e1 f2f1 b6d4 g1h1 e1f1,https://lichess.org/DKnGKRmQ#63,
00XGg,2k4r/ppp2ppr/2n5/3b1N2/3p1bP1/5NP1/PPP1QPK1/R3R3 b - - 2 20,h7h2 g2f1 h2h1 f3g1 h1g1 f1g1 h8h1,https://lichess.org/HyzlukP8#39,
010MJ,3r2k1/pR3pp1/8/5p1p/5q2/5n2/PP4R1/6QK w - - 0 30,g2g7 g8h8 g7h7 h8h7 b7f7 h7h8 g1g7,https://lichess.org/TZpqMy3A/black#58,
01FSC,4r3/5Q1p/p5pk/8/6P1/6KP/P1P1r3/8 w - - 0 35,g4g5 h6h5 f7f3 h5g5 f3f4 g5h5 f4h4,https://lichess.org/efFWEKnd/black#68,
01bxA,5r1k/p5pp/8/6N1/2Q5/8/Pq3P1P/1b3RK1 w - - 4 31,g5f7 h8g8 f7h6 g8h8 c4g8 f8g8 h6f7,https://lichess.org/wWcUqm1E/black#60,
01oPU,1r6/RP4k1/2Q2bp1/2p1p1p1/2Pp2q1/3P1pP1/1P3P1K/7R b - - 4 36,b8h8 h2g1 h8h1 g1h1 g4h3 h1g1 h3g2,https://lichess.org/UN9LTxg5#71,
01sj4,2r2r2/2q2pk1/5n1p/p1p1pp2/1pb1P2N/3PQ3/PP3PPP/5RK1 w - - 0 23,h4f5 g7g8 e3g3 f6g4 g3g4 g8h8 g4g7,https://lichess.org/LwGILHs2/black#44,
01utE,r1b2rk1/5pp1/p3p1B1/1p1p2p1/3q4/P7/1PQ2PK1/7R w - - 4 29,g6h7 g8h8 h7g8 d4h4 h1h4 g5h4 c2h7,https://lichess.org/Vx6I0drZ/black#56,
0263h,1r3rk1/ppp2pp1/8/8/1nP5/1P5R/PbBq1PPP/1Q4K1 w - - 2 21,c2h7 g8h8 h7g8 d2h6 h3h6 g7h6 b1h7,https://lichess.org/dyWVsY5L/black#40,
