001wR,6nr/p4p1p/k1p5/1p6/1QN5/2P1P3/4KPqP/8 w - - 0 27,b4a5 a6b7 c4d6 b7b8 a5d8,https://lichess.org/ruvbd9JW/black#52,
004kB,4rr1k/p1Qn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 b - - 0 16,f6f2 f1f2 e8e1 f2f1 e1f1,https://lichess.org/Cl9T6bjt#31,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
005wy,1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,c6b4 c3b4 b8c8 d2c4 c8c4,https://lichess.org/mBQMheB4#53,
007en,rn3rk1/4pp1p/3p2pB/2q4P/3QP1b1/Pp6/1P2B3/1K1R2NR b - - 0 20,c5c2 b1a1 a8a3 b2a3 c2a2,https://lichess.org/jzE2yKAk#39,
00Aq4,2k1r3/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPPR4/2K3NR b - - 0 18,e8e1 d2d1 d6f4 c1b1 e1d1,https://lichess.org/VIBqOZyc#35,Scandinavian_Defense Scandinavian_Defense_Main_Line
00BrZ,r6r/pp2kb2/3p1p2/1N1Pp3/3bP3/P2B2P1/1P1Q2PP/7K b - - 7 28,h8h2 h1h2 a8h8 d2h6 h8h6,https://lichess.org/ANKrgoJi#55,
00F6y,2k3r1/pppb1prp/1q6/8/Q7/2P1R1P1/P4P1P/4R1K1 w - - 4 24,e3e8 d7e8 e1e8 g8e8 a4e8,https://lichess.org/Hii0fRVd/black#46,
00GuD,1n5k/6p1/p2q1rPp/1ppB4/8/3P4/PPP1rPQ1/2K4R w - - 0 26,h1h6 g7h6 g6g7 h8h7 g7g8q,https://lichess.org/zcHeWRaO/black#50,
00Ivf,8/2p4r/1p3k2/p2PR1p1/P1P2pP1/1P3P1r/4R1K1/8 b - - 0 46,h3h2 g2f1 h2h1 f1f2 h7h2,https://lichess.org/VX0fLjAC#91,
00J1t,r1qr3k/pp3pb1/1np1p3/8/3P3P/2N2PR1/PP1Q2P1/2KR4 w - - 0 23,d2g5 d8g8 g5h5 g7h6 h5h6,https://lichess.org/77hjhVfM/black#44,
